payment_id,order_id,paid_amount,currency,status,payment_date
1,108,,GBP,FAILED,2023-01-06
2,6566,168.3,GBP,failed,2023-01-29
3,75,43.48,EUR,,2023-02-04
4,9,167.53,GBP,,2023/01/12
5,328,289.67,USD,failed,2023-01-21
6,907,247.14,USD,paid,2023/02/06
7,804,164.26,GBP,failed,2023-02-10
8,312,121.7,EUR,paid,2023-02-07
9,7603,106.89,EUR,PAID,2023-02-06
10,192,151.63,JPY,FAILED,2023-01-04
11,901,,EUR,PAID,2023-01-11
12,208,142.16,USD,PENDING,2023-01-10
13,362,213.06,EUR,,2023-01-29
14,5918,78.33,GBP,failed,2023-02-05
15,661,94.63,USD,paid,2023-01-12
16,100,31.05,GBP,PENDING,2023-01-18
17,771,93.11,JPY,,2023/01/05
18,399,invalid,USD,paid,2023/01/07
19,695,73.29,GBP,PAID,2023-01-20
20,11,55.72,GBP,PAID,2023-01-16
21,808,277.68,USD,FAILED,2023-01-05
22,435,265.86,EUR,,2023/01/20
23,6380,invalid,EUR,failed,2023/01/02
24,5653,262.16,JPY,paid,2023-01-29
25,917,152.97,EUR,paid,2023/01/16
26,36,32.91,GBP,FAILED,2023-01-06
27,676,144.28,USD,PAID,2023-01-20
28,481,invalid,EUR,paid,2023-01-15
29,8273,73.21,GBP,,2023/01/25
30,30,56.85,EUR,PENDING,2023/02/10
31,585,95.02,JPY,,2023/02/01
32,7015,179.46,EUR,failed,2023-01-11
33,142,invalid,JPY,PAID,2023-02-03
34,296,178.6,EUR,paid,2023-01-17
35,6500,110.76,EUR,paid,2023-01-06
36,755,290.18,USD,FAILED,2023-01-22
37,6310,181.87,GBP,paid,2023/01/28
38,60,90.14,JPY,PENDING,2023/01/25
39,6618,,JPY,PENDING,2023/01/16
40,450,121.05,JPY,,2023-01-01
41,736,186.93,JPY,failed,2023-01-14
42,389,71.16,JPY,,2023-01-31
43,791,54.82,GBP,,2023/01/05
44,504,290.58,USD,FAILED,2023/02/02
45,164,185.7,JPY,paid,2023-02-08
46,675,26.61,GBP,,2023-01-03
47,182,289.31,USD,PENDING,2023-01-03
48,193,281.35,GBP,failed,2023/01/05
49,283,119.22,JPY,failed,2023-01-13
50,804,268.31,USD,FAILED,2023-01-02
51,8242,invalid,JPY,failed,2023-01-27
52,785,284.01,JPY,FAILED,2023-01-02
53,246,297.73,JPY,PENDING,2023-01-16
54,8327,283.85,EUR,FAILED,2023/01/21
55,666,294.64,GBP,PENDING,2023-02-04
56,225,182.9,GBP,FAILED,2023-01-19
57,8480,,GBP,PENDING,2023-01-06
58,751,125.19,GBP,failed,2023/02/02
59,161,193.71,USD,PENDING,2023-02-03
60,159,21.54,USD,PAID,2023-01-27
61,995,invalid,EUR,failed,2023/01/06
62,404,258.78,USD,,2023-01-31
63,958,81.16,EUR,paid,2023-01-06
64,5988,116.47,GBP,PENDING,2023/02/07
65,289,194.68,JPY,paid,2023-02-05
66,350,290.53,USD,PAID,2023-01-22
67,661,,JPY,PAID,2023-02-08
68,59,255.55,JPY,PAID,2023-01-05
69,693,33.3,GBP,,2023-02-10
70,6197,49.08,JPY,,2023-01-09
71,208,,JPY,failed,2023-02-07
72,815,145.19,GBP,,2023-01-26
73,710,241.9,JPY,failed,2023-01-19
74,706,265.41,GBP,PAID,2023-01-20
75,363,244.59,JPY,FAILED,2023-02-05
76,435,180.71,JPY,,2023-01-09
77,435,,USD,FAILED,2023/02/10
78,493,180.48,USD,paid,2023-02-10
79,617,247.54,JPY,paid,2023-02-03
80,376,295.6,JPY,PAID,2023-02-04
81,8828,83.53,JPY,PAID,2023-02-10
82,452,38.47,JPY,PENDING,2023-01-27
83,290,invalid,USD,FAILED,2023/01/08
84,6568,132.82,JPY,failed,2023-01-27
85,795,210.53,EUR,FAILED,2023-01-12
86,945,24.21,JPY,failed,2023-01-12
87,513,266.84,USD,paid,2023-01-31
88,162,114.29,JPY,failed,2023-01-06
89,480,invalid,EUR,failed,2023/02/04
90,602,110.25,USD,paid,2023-01-18
91,111,invalid,JPY,PENDING,2023-01-11
92,52,,GBP,PENDING,2023-01-31
93,410,187.47,EUR,FAILED,2023-01-09
94,19,107.21,JPY,,2023-01-29
95,6114,invalid,USD,FAILED,2023-01-19
96,6550,142.83,EUR,PAID,2023/02/01
97,440,194.4,USD,,2023/02/05
98,398,invalid,JPY,paid,2023/01/07
99,6595,294.05,JPY,PENDING,2023-02-08
100,8043,124.88,JPY,PENDING,2023-02-04
101,5920,53.29,EUR,PAID,2023-02-04
102,5112,11.17,GBP,PAID,2023-02-06
103,617,62.28,GBP,failed,2023/02/05
104,7,169.76,GBP,,2023-01-29
105,480,278.01,GBP,PENDING,2023-01-19
106,479,255.1,USD,failed,2023/01/26
107,242,115.18,USD,,2023-02-07
108,41,35.19,GBP,failed,2023-01-01
109,388,262.44,GBP,,2023-01-05
110,866,205.46,USD,PENDING,2023-01-22
111,7725,182.29,USD,failed,2023/01/16
112,5135,,GBP,failed,2023-01-04
113,233,134.36,JPY,PENDING,2023-01-27
114,282,277.54,USD,,2023-01-16
115,128,,GBP,failed,2023-02-08
116,186,263.25,GBP,PENDING,2023-01-02
117,949,invalid,GBP,failed,2023/02/10
118,5215,118.56,GBP,failed,2023/01/25
119,961,264.7,USD,PENDING,2023/01/15
120,5468,108.26,USD,PENDING,2023-01-05
121,7615,,JPY,PAID,2023-01-29
122,7025,71.07,GBP,paid,2023/01/13
123,928,,GBP,paid,2023-01-04
124,583,98.2,USD,paid,2023-01-12
125,670,5.54,GBP,,2023-01-28
126,631,272.62,USD,,2023/01/29
127,5933,132.18,USD,paid,2023/02/01
128,487,49.57,GBP,PAID,2023-01-03
129,100,,EUR,PAID,2023/02/05
130,783,30.56,EUR,,2023-01-08
131,828,24.61,GBP,FAILED,2023-01-06
132,529,147.12,EUR,PAID,2023-01-15
133,7215,161.09,JPY,PAID,2023-01-14
134,42,154.7,JPY,failed,2023-01-02
135,8036,222.81,JPY,PENDING,2023-01-11
136,755,,JPY,failed,2023/01/24
137,991,24.36,GBP,PENDING,2023/01/05
138,472,163.46,GBP,,2023-01-08
139,288,65.53,GBP,PAID,2023-01-12
140,519,274.74,USD,failed,2023-02-03
141,106,268.16,JPY,PENDING,2023-02-04
142,7465,260.8,JPY,PENDING,2023-01-26
143,460,104.92,JPY,paid,2023-02-01
144,777,137.73,JPY,failed,2023-01-15
145,6931,216.35,USD,,2023-01-08
146,998,237.98,GBP,PENDING,2023-01-27
147,93,242.92,GBP,,2023-01-05
148,731,191.53,GBP,PENDING,2023-01-08
149,852,226.15,JPY,,2023/01/28
150,632,,JPY,,2023-01-18
151,888,99.43,GBP,paid,2023/01/30
152,392,241.35,JPY,FAILED,2023/02/07
153,362,171.41,EUR,FAILED,2023-01-18
154,617,299.87,USD,FAILED,2023/01/13
155,956,272.66,EUR,FAILED,2023/01/16
156,225,187.05,EUR,,2023-02-01
157,816,invalid,EUR,failed,2023-02-01
158,562,254.5,JPY,,2023-02-09
159,952,237.97,EUR,failed,2023/01/17
160,273,123.42,GBP,,2023-01-18
161,428,179.52,GBP,FAILED,2023/01/22
162,407,invalid,USD,PAID,2023-01-07
163,502,172.48,EUR,,2023-01-02
164,5119,190.0,GBP,paid,2023-01-11
165,684,27.48,JPY,PAID,2023/02/07
166,966,254.79,JPY,,2023-01-18
167,607,235.68,GBP,,2023-01-05
168,304,76.19,USD,FAILED,2023-01-08
169,602,119.41,EUR,FAILED,2023-02-03
170,946,72.9,JPY,,2023-01-01
171,229,219.65,USD,paid,2023-02-10
172,8645,56.43,USD,FAILED,2023-01-02
173,21,invalid,USD,PENDING,2023/02/03
174,889,20.13,GBP,paid,2023/01/09
175,37,223.56,JPY,paid,2023-02-02
176,203,240.6,GBP,PENDING,2023/02/02
177,413,255.09,EUR,FAILED,2023-01-15
178,7984,,JPY,PAID,2023-01-25
179,156,57.1,EUR,,2023-01-03
180,649,31.3,GBP,PAID,2023/01/01
181,6408,218.14,USD,failed,2023-02-01
182,311,128.19,EUR,paid,2023-01-03
183,786,145.08,JPY,,2023/01/24
184,984,223.92,JPY,,2023/01/11
185,906,277.62,JPY,PAID,2023-01-04
186,929,174.79,USD,,2023-01-10
187,383,92.77,GBP,failed,2023/01/20
188,522,103.87,USD,failed,2023-01-17
189,687,272.29,JPY,paid,2023-01-24
190,782,,EUR,PENDING,2023/01/02
191,7857,12.76,GBP,PAID,2023/02/10
192,6763,84.74,USD,PAID,2023-01-10
193,796,70.63,EUR,FAILED,2023-01-02
194,8952,invalid,GBP,paid,2023-01-30
195,296,288.26,EUR,FAILED,2023-01-03
196,323,120.11,USD,failed,2023-01-29
197,527,66.61,GBP,FAILED,2023-01-21
198,829,187.42,GBP,PAID,2023/01/21
199,255,invalid,EUR,failed,2023/02/01
200,3,169.73,JPY,,2023-01-03
201,122,222.75,GBP,,2023-01-04
202,593,102.93,JPY,failed,2023/01/04
203,981,,USD,paid,2023-01-13
204,341,invalid,GBP,,2023-01-12
205,353,invalid,GBP,paid,2023-01-27
206,623,121.93,EUR,PENDING,2023-01-04
207,243,58.77,GBP,PENDING,2023-01-17
208,128,276.05,GBP,PAID,2023-01-16
209,251,15.47,USD,PAID,2023/01/02
210,585,250.98,GBP,paid,2023-01-02
211,314,187.97,JPY,paid,2023-01-13
212,6539,100.36,JPY,FAILED,2023/02/06
213,653,59.92,EUR,FAILED,2023-01-06
